district,policy_name,reference_date,source_grade,source_type,source_url,target_summary,business_age_requirement,support_type,fund_use,amount_limit,interest_rate,repayment,application_period,cafe_relevance,verification_status,notes,rag_text
강남구,2026년 하반기 중소기업육성기금 융자지원,2026-08-25,A,구청 공식 공고,https://www.gangnam.go.kr/notice/view.do?mid=ID0521&not_ancmt_mgt_no=64910,사업자등록 1년 경과한 강남구 관내 중소기업 및 소상공인,1년 이상,융자,중소기업육성기금; 세부 자금용도는 공고문 확인,"개인사업자 1억원, 법인사업자 3억원 이내",연 1.5% 고정,"1년 거치, 4년 균등분할상환",2026-09-01 ~ 자금 소진 시,조건부 가능,공식 최신 공고 검증완료,"융자 제한업종, 담보/신용보증 요건 확인 필요. 후보지 이전 직후에는 1년 업력 요건 때문에 즉시 신청 불가 가능.","[지역] 강남구
[정책명] 2026년 하반기 중소기업육성기금 융자지원
[기준일] 2026-08-25
[지원대상] 사업자등록 1년 경과한 강남구 관내 중소기업 및 소상공인
[업력요건] 1년 이상
[지원유형] 융자
[자금용도] 중소기업육성기금; 세부 자금용도는 공고문 확인
[지원한도] 개인사업자 1억원, 법인사업자 3억원 이내
[금리] 연 1.5% 고정
[상환조건] 1년 거치, 4년 균등분할상환
[신청기간] 2026-09-01 ~ 자금 소진 시
[카페 적합성] 조건부 가능
[검증상태] 공식 최신 공고 검증완료
[주의사항] 융자 제한업종, 담보/신용보증 요건 확인 필요. 후보지 이전 직후에는 1년 업력 요건 때문에 즉시 신청 불가 가능.
[공식/확인 출처] https://www.gangnam.go.kr/notice/view.do?mid=ID0521&not_ancmt_mgt_no=64910"
강동구,중소기업육성기금 융자지원,2026-01-28,A,구청 공식 상시 안내,https://www.gangdong.go.kr/web/newportal/contents/gdp_005_008_004_002_001,강동구 사업자등록 후 3개월 경과한 중소기업 및 소상공인,3개월 이상,융자,"운전자금, 시설자금, 기술개발자금",제조·건설·규모상 중기업 2억원; 그 외 업종 1억원,연 1.5% 고정(생활임금 준수업체 1.2%),"1년 거치, 3년 균등분할상환",공고일 ~ 자금 소진 시,가능성 높음,공식 상시 안내 검증완료,부동산 또는 신용보증서 필요. 일반 카페는 '그 외 업종' 적용 가능성이 높으나 제한업종 최종 확인.,"[지역] 강동구
[정책명] 중소기업육성기금 융자지원
[기준일] 2026-01-28
[지원대상] 강동구 사업자등록 후 3개월 경과한 중소기업 및 소상공인
[업력요건] 3개월 이상
[지원유형] 융자
[자금용도] 운전자금, 시설자금, 기술개발자금
[지원한도] 제조·건설·규모상 중기업 2억원; 그 외 업종 1억원
[금리] 연 1.5% 고정(생활임금 준수업체 1.2%)
[상환조건] 1년 거치, 3년 균등분할상환
[신청기간] 공고일 ~ 자금 소진 시
[카페 적합성] 가능성 높음
[검증상태] 공식 상시 안내 검증완료
[주의사항] 부동산 또는 신용보증서 필요. 일반 카페는 '그 외 업종' 적용 가능성이 높으나 제한업종 최종 확인.
[공식/확인 출처] https://www.gangdong.go.kr/web/newportal/contents/gdp_005_008_004_002_001"
강북구,2026년 제2차 중소기업육성기금 융자지원,2026-05-27,A,구청 공식 보도/공고,https://child.gangbuk.go.kr/portal/bbs/B0000142/view.do?menuNo=200625&nttId=182075,강북구 관내 중소기업 및 소상공인,공고문 확인 필요,융자,"시설자금, 운영자금",세부 공고문 확인,저금리; 세부 공고문 확인,1년 거치 후 4년 균등분할상환,2차 공고 기준 확인 필요,조건부 가능,2026 공식 공고 존재 확인; 세부조건 원문 재확인 권장,강북구 조례상 소상공인 포함은 명확. RAG에는 실제 첨부 공고문을 함께 저장하는 것을 권장.,"[지역] 강북구
[정책명] 2026년 제2차 중소기업육성기금 융자지원
[기준일] 2026-05-27
[지원대상] 강북구 관내 중소기업 및 소상공인
[업력요건] 공고문 확인 필요
[지원유형] 융자
[자금용도] 시설자금, 운영자금
[지원한도] 세부 공고문 확인
[금리] 저금리; 세부 공고문 확인
[상환조건] 1년 거치 후 4년 균등분할상환
[신청기간] 2차 공고 기준 확인 필요
[카페 적합성] 조건부 가능
[검증상태] 2026 공식 공고 존재 확인; 세부조건 원문 재확인 권장
[주의사항] 강북구 조례상 소상공인 포함은 명확. RAG에는 실제 첨부 공고문을 함께 저장하는 것을 권장.
[공식/확인 출처] https://child.gangbuk.go.kr/portal/bbs/B0000142/view.do?menuNo=200625&nttId=182075"
강서구,2026년 강서구 중소기업육성기금 융자지원,2026-01-07,A,구청 공식 2026 안내,https://www.gangseo.seoul.kr/build/bui010103/316498,강서구에서 사업한 기간 1년 이상인 중소기업 및 소상공인,1년 이상,융자,운영/시설 등 중소기업육성기금,벤처·이노비즈·공장등록 3억원; 그 외 중소기업·소상공인 5천만원,연 0.8% 고정,"1년 거치, 4년 균등분할상환",2026-02 ~ 자금 소진 시,가능성 높음,2026 공식 안내 검증완료,"구청 상시 일반 페이지에는 1.5%가 남아 있으나, 2026년 공식 안내·구의회 자료는 0.8%로 인하를 명시. 2026 기준은 0.8%로 관리.","[지역] 강서구
[정책명] 2026년 강서구 중소기업육성기금 융자지원
[기준일] 2026-01-07
[지원대상] 강서구에서 사업한 기간 1년 이상인 중소기업 및 소상공인
[업력요건] 1년 이상
[지원유형] 융자
[자금용도] 운영/시설 등 중소기업육성기금
[지원한도] 벤처·이노비즈·공장등록 3억원; 그 외 중소기업·소상공인 5천만원
[금리] 연 0.8% 고정
[상환조건] 1년 거치, 4년 균등분할상환
[신청기간] 2026-02 ~ 자금 소진 시
[카페 적합성] 가능성 높음
[검증상태] 2026 공식 안내 검증완료
[주의사항] 구청 상시 일반 페이지에는 1.5%가 남아 있으나, 2026년 공식 안내·구의회 자료는 0.8%로 인하를 명시. 2026 기준은 0.8%로 관리.
[공식/확인 출처] https://www.gangseo.seoul.kr/build/bui010103/316498"
관악구,2026년 하반기 중소기업육성기금 융자지원,2026-08-25,A,구청 공식 최신 보도/사업안내,https://www.gwanak.go.kr/site/gwanak/09/10905100000002023020811.jsp,관악구 사업자등록 6개월 이상 중소기업 및 소상공인,6개월 이상,융자,"운전자금, 시설자금",중소기업 1억원; 소상공인 5천만원,연 1.5%,"2년 거치, 3년 균등분할상환",2026 하반기 20억원 규모,가능성 높음,공식 최신 자료 검증완료,금융·부동산·숙박·유흥·사행업종 등 제외. 일반 카페는 명시적 제외로 확인되지 않음.,"[지역] 관악구
[정책명] 2026년 하반기 중소기업육성기금 융자지원
[기준일] 2026-08-25
[지원대상] 관악구 사업자등록 6개월 이상 중소기업 및 소상공인
[업력요건] 6개월 이상
[지원유형] 융자
[자금용도] 운전자금, 시설자금
[지원한도] 중소기업 1억원; 소상공인 5천만원
[금리] 연 1.5%
[상환조건] 2년 거치, 3년 균등분할상환
[신청기간] 2026 하반기 20억원 규모
[카페 적합성] 가능성 높음
[검증상태] 공식 최신 자료 검증완료
[주의사항] 금융·부동산·숙박·유흥·사행업종 등 제외. 일반 카페는 명시적 제외로 확인되지 않음.
[공식/확인 출처] https://www.gwanak.go.kr/site/gwanak/09/10905100000002023020811.jsp"
광진구,2026년 광진구 중소기업육성기금 융자지원,2026-01-29,A,구청 공식 지원시책/보도자료,https://www.gwangjin.go.kr/portal/main/contents.do?menuNo=200694,광진구 내 중·소기업 및 소상공인,2026 상반기 기준 6개월 이상,융자,경영자금; 세부 자금용도 공고문 확인,업체당 최대 2억원 범위(세부 적용은 공고 확인),연 1.5% 고정,"1년 거치, 3년 균등분할상환",2026 상반기 공고 존재,가능성 높음,공식 2026 자료 검증완료,소상공인 정책자금 지원 제외업종은 제외. 실제 신청 시 최신 회차 공고문 확인.,"[지역] 광진구
[정책명] 2026년 광진구 중소기업육성기금 융자지원
[기준일] 2026-01-29
[지원대상] 광진구 내 중·소기업 및 소상공인
[업력요건] 2026 상반기 기준 6개월 이상
[지원유형] 융자
[자금용도] 경영자금; 세부 자금용도 공고문 확인
[지원한도] 업체당 최대 2억원 범위(세부 적용은 공고 확인)
[금리] 연 1.5% 고정
[상환조건] 1년 거치, 3년 균등분할상환
[신청기간] 2026 상반기 공고 존재
[카페 적합성] 가능성 높음
[검증상태] 공식 2026 자료 검증완료
[주의사항] 소상공인 정책자금 지원 제외업종은 제외. 실제 신청 시 최신 회차 공고문 확인.
[공식/확인 출처] https://www.gwangjin.go.kr/portal/main/contents.do?menuNo=200694"
구로구,2026년 하반기 구로구 중소기업육성기금 융자지원,2026-06-30,A,구청 공식 고시공고,https://www.guro.go.kr/www/selectBbsNttGosiView.do?bbsNo=663&key=1791&nttNo=50741,구로구 관내 중소기업 및 소상공인; 소상공인용 신청서 별도 제공,공고문 확인(기존 안내 기준 6개월 이상),융자,"운전자금, 시설자금 등",공고문 첨부 확인,2026 안내 기준 연 0.8%,"1년 거치, 4년 균등분할상환",2026-07-15 ~ 2026-07-31,가능성 높음,공식 최신 공고 검증완료,첨부 PDF와 소상공인용 신청서를 원문 corpus로 저장 권장.,"[지역] 구로구
[정책명] 2026년 하반기 구로구 중소기업육성기금 융자지원
[기준일] 2026-06-30
[지원대상] 구로구 관내 중소기업 및 소상공인; 소상공인용 신청서 별도 제공
[업력요건] 공고문 확인(기존 안내 기준 6개월 이상)
[지원유형] 융자
[자금용도] 운전자금, 시설자금 등
[지원한도] 공고문 첨부 확인
[금리] 2026 안내 기준 연 0.8%
[상환조건] 1년 거치, 4년 균등분할상환
[신청기간] 2026-07-15 ~ 2026-07-31
[카페 적합성] 가능성 높음
[검증상태] 공식 최신 공고 검증완료
[주의사항] 첨부 PDF와 소상공인용 신청서를 원문 corpus로 저장 권장.
[공식/확인 출처] https://www.guro.go.kr/www/selectBbsNttGosiView.do?bbsNo=663&key=1791&nttNo=50741"
금천구,2026년 금천구 중소기업육성기금 융자지원,2026-01-28,A,구청 공식 보도자료/공고,https://www.geumcheon.go.kr/portal/selectBbsNttView.do?bbsNo=8&id=&integrDeptCode=&key=297&nttNo=267171&pageIndex=1,금천구 주사무소/공장의 중소기업 중 제조업·지식산업·정보통신업 또는 사회적경제기업,공고 조건 확인,융자,중소기업 경영안정자금,업체당 1억원 이내,연 0.8% 고정,"1년 거치, 3년 균등분할상환",2026-01-27 ~ 2026-02-27,낮음/일반 카페 부적합 가능성 높음,공식 2026 공고 검증완료,일반 카페는 명시된 지원 업종에 포함되지 않아 기본 RAG 후보에서 제외하는 것이 안전.,"[지역] 금천구
[정책명] 2026년 금천구 중소기업육성기금 융자지원
[기준일] 2026-01-28
[지원대상] 금천구 주사무소/공장의 중소기업 중 제조업·지식산업·정보통신업 또는 사회적경제기업
[업력요건] 공고 조건 확인
[지원유형] 융자
[자금용도] 중소기업 경영안정자금
[지원한도] 업체당 1억원 이내
[금리] 연 0.8% 고정
[상환조건] 1년 거치, 3년 균등분할상환
[신청기간] 2026-01-27 ~ 2026-02-27
[카페 적합성] 낮음/일반 카페 부적합 가능성 높음
[검증상태] 공식 2026 공고 검증완료
[주의사항] 일반 카페는 명시된 지원 업종에 포함되지 않아 기본 RAG 후보에서 제외하는 것이 안전.
[공식/확인 출처] https://www.geumcheon.go.kr/portal/selectBbsNttView.do?bbsNo=8&id=&integrDeptCode=&key=297&nttNo=267171&pageIndex=1"
노원구,2026년 하반기 중소기업·소상공인 육성기금 융자지원,2026-08-19,B,기업마당 공식 지원사업 공고(기초자치단체 원공고 첨부),https://bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125556,"노원구 소재 중소기업 및 소상공인, 공고일 기준 사업자등록 6개월 이상",6개월 이상,융자,"시설, 운영, 기술개발자금",첨부 원공고 확인,연 1.5% 고정,첨부 원공고 확인,2026-08-24 ~ 2026-08-28,가능성 높음,기업마당 최신 공고 검증완료; 구청 원문 링크 추가 확보 권장,기업마당에 PDF 본문출력파일이 있으므로 RAG 원문 수집 가능.,"[지역] 노원구
[정책명] 2026년 하반기 중소기업·소상공인 육성기금 융자지원
[기준일] 2026-08-19
[지원대상] 노원구 소재 중소기업 및 소상공인, 공고일 기준 사업자등록 6개월 이상
[업력요건] 6개월 이상
[지원유형] 융자
[자금용도] 시설, 운영, 기술개발자금
[지원한도] 첨부 원공고 확인
[금리] 연 1.5% 고정
[상환조건] 첨부 원공고 확인
[신청기간] 2026-08-24 ~ 2026-08-28
[카페 적합성] 가능성 높음
[검증상태] 기업마당 최신 공고 검증완료; 구청 원문 링크 추가 확보 권장
[주의사항] 기업마당에 PDF 본문출력파일이 있으므로 RAG 원문 수집 가능.
[공식/확인 출처] https://bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125556"
도봉구,2026년 중소기업 및 소상공인 융자지원,2026-01-22,A,구청 공식 주요사업,https://m.dobong.go.kr/majorWork/MajorView.asp?lidx=611,도봉구 소재 중소기업 및 소상공인,세부 모집공고 확인,융자 + 특별신용보증,중소기업육성기금 및 특별신용보증 연계,세부 모집공고 확인,세부 모집공고 확인,세부 모집공고 확인,연중 추진,가능성 높음,사업 존재 공식 확인; 최신 개별 모집공고 추가 확보 필요,Vector DB에는 개별 모집공고/첨부문서 확보 후 넣는 것을 권장.,"[지역] 도봉구
[정책명] 2026년 중소기업 및 소상공인 융자지원
[기준일] 2026-01-22
[지원대상] 도봉구 소재 중소기업 및 소상공인
[업력요건] 세부 모집공고 확인
[지원유형] 융자 + 특별신용보증
[자금용도] 중소기업육성기금 및 특별신용보증 연계
[지원한도] 세부 모집공고 확인
[금리] 세부 모집공고 확인
[상환조건] 세부 모집공고 확인
[신청기간] 연중 추진
[카페 적합성] 가능성 높음
[검증상태] 사업 존재 공식 확인; 최신 개별 모집공고 추가 확보 필요
[주의사항] Vector DB에는 개별 모집공고/첨부문서 확보 후 넣는 것을 권장.
[공식/확인 출처] https://m.dobong.go.kr/majorWork/MajorView.asp?lidx=611"
